cr2020-04-09-062816_Weises_Netzteil_Kabel_mit_Druckschalter.txt
Weises Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After 525.5 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 526.7 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 531.5 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 532.7 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 539.9 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 541.1 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 542.3 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 545.8 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 550.6 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 551.8 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 556.6 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 557.8 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 558.9 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 560.1 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 567.3 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 568.5 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 570.8 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 572.0 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 576.8 seconds  | Throttled: 1010000000000000101 | Temperature: 51.0'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 578.0 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 582.8 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 583.9 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 593.5 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 594.7 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 597.1 seconds  | Throttled: 1010000000000000101 | Temperature: 52.1'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 599.4 seconds  | Throttled: 1010000000000000101 | Temperature: 51.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
