data/cr2020-05-01-114719_raspi41GB.txt
raspi41GB
Core data - After 480.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 481.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 483.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 484.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 485.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 486.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.2°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%, 98%]
Core data - After 487.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 488.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 489.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  82.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 490.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 491.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 492.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  83.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
Core data - After 493.6 seconds | CPU: NOK | Voltage:  ok | arm freq: capped | throttled:  no | Temp:  84.7°C | Volt: 0.8500V | Freq: 1.50GHz | Load: 100%  | [100%,100%,100%,100%]
