cr2020-04-08-225035_Samsung_schwarz_Netzteil_Kabel_mit_Druckschalter.txt
Samsung schwarz Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After 535.4 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 537.8 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 539.0 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 540.2 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 541.4 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 542.6 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 545.0 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 546.2 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 547.4 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 548.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 549.7 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 553.3 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 562.9 seconds  | Throttled: 1010000000000000101 | Temperature: 53.7'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 564.1 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 566.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 568.9 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 570.1 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 572.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 573.7 seconds  | Throttled: 1010000000000000101 | Temperature: 55.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 574.9 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 576.1 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 1.40GHz
Core data - After 577.3 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 578.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 583.3 seconds  | Throttled: 1010000000000000101 | Temperature: 55.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 584.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 585.7 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 589.3 seconds  | Throttled: 1010000000000000101 | Temperature: 54.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 590.5 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 591.7 seconds  | Throttled: 1010000000000000101 | Temperature: 55.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 592.9 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 597.7 seconds  | Throttled: 1010000000000000101 | Temperature: 55.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 598.8 seconds  | Throttled: 1010000000000000101 | Temperature: 54.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
