cr2020-04-08-105232_Samsung_Ladegerat_altes_Kabel.txt
Samsung Ladegerät, altes Kabel running for 10.0 minutes
Core data - After 521.4 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 522.6 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 526.1 seconds  | Throttled: 10000000000000001000 | Temperature: 70.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 527.3 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 530.8 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 531.9 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 540.1 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 541.3 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 543.6 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 544.8 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 546.0 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 547.1 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 548.3 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 549.5 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 550.6 seconds  | Throttled: 10000000000000001000 | Temperature: 70.9'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 554.1 seconds  | Throttled: 10000000000000001000 | Temperature: 71.4'C | Voltage: 1.2500V | Frequency: 1.20GHz
Core data - After 558.8 seconds  | Throttled: 10000000000000001000 | Temperature: 72.0'C | Voltage: 1.2500V | Frequency: 1.20GHz
